HP ,"ProBook X360 G1 EE Notebook, 11.6"" LED HD Touchscreen,Convertible, Intel Celeron N3350 Dual-Core 1.1GHz, 4GB DDR3, 64GB SSD EMMC, Win10Pro","₦93,990"
Apple ,"Latest Mackbook Pro 15-inch Laptop With Touch Bar (2.2 GHz Intel Core I7, 16GB RAM, 256GB SSD Hard Drive) 2017 Edition","₦950,000"
HP ,"255 G6 AMD 7th Generation AMD E2 APU Processor (4GB DDR4, 500GB HDD) 15.6""-Inch Diagonal HD SVA EDP Anti-glare Slim WLED  Windows 10 Laptop - Black","₦96,990"
HP ,32GB USB OTG Dual Drive For Android Devices And Computers Flash Drive ,"₦2,680"
Generic ,Personal Teeth Whitening Tool Kit Light Transmitter Gel Dental Bleaching ,"₦1,369"
Generic ,900mAh Electronic Cigarette Rechargeable Vape Smoke Stick Pen For EGO CE4,"₦2,129"
Queen Love ,Stretch Marks Soap,₦900
Generic ,Food-Grade Silicone Ice Cream Mold Maker Chocolate Jelly DIY Cube Oval 3-Grid,"₦3,859"
Nestle ,Nescafe 3-In-1 Breakfast Coffee - 32g (X 10),₦810
Generic ,Tectores 2Pcs Infant Kid Boys Girl Letter Star Print Plaid Tops+Pants Outfits Clothes Set Gift,"₦1,999"
Molfix ,"ComfortFix Diapers, Size 5 (X 4) (Total 112 Count) ","₦6,790"
Generic ,Multifunctional Baby Carrier Breathable Front Back Carrying Sling Wrap Seat,"₦3,430"
Generic ,Baby Crawling Anti-Slip Knee Protector,"₦1,100"
Fashion ,Men's Summer Flip-flops Slippers Beach Sandals Indoor&Outdoor Casual Shoes,₦900
Generic ,Mini Wireless Bluetooth 4.1 Stereo In-Ear Headset Earphone Earpiece Universal,₦680
Rite-tek ,32-Inch Super HD LED TV,"₦39,850"
Generic ,Digital TV Antenna Key 100+ Free HD Digital TV Programs Clear TV Key Antenna 480p-1080p Channels Clear TV Key,"₦2,328"
Generic ,A3 Single Wireless Bluetooth HIFI Headphone - Blue,"₦2,695"
Generic ,I7s TWS Mini Wireless Bluetooth Earphone Stereo Earbud Headset With Charging Box Mic For All Smart Phone,"₦2,600"
Generic ,Body Wave Hair - 4 Bundles - 18 Inches Combo,"₦2,450"
Franck Olivier ,Oud Touch EDP For Men - 100ml,"₦5,990"
Generic ,Silky Straight Hair  (3 Bundles) For Full Hair..,"₦2,400"
Generic ,Adult Children Ultrasonic Electric Toothbrush Portable Electric Toothbrush IPX7 Waterproof Toothbrush(Blue),"₦1,399"
Andrea ,Andrea Fastest Hair & Beard Growth Essence - 20 Ml,₦895
Sandisk ,32GB Cruzer Blade USB 2.0 Flash Drive,"₦2,600"
Allwin ,14 Inch For Windows 10 Redstone OS Notebook PC Laptop Silver,"₦69,480"
Generic ,512GB Calss10 Micro Memory SD Card With Adaptor-Samsung Red,"₦3,499"
Dieters ,Extra Strength True Slim Tea,"₦2,700"
Gerber  ,Baby Wash/Mouth Cloth Towel Gift Set Of 8,₦767
Generic ,Electric Breast Pump Nursing Bottle,"₦6,200"
Generic ,Baby Bath Set - 7pcs -Blue,"₦3,100"
Molfix ,Molfix Comfort Fix Diapers Size 3 88counts (x3) (Total 264 Counts) ,"₦12,170"
Generic ,Kids Children Tablet Pad Electronic Preschool English Learning Numbers Letters Teach Toy(Green),"₦2,502"
Hisense ,40-Inch LED TV 40N2176 + Free Wall Bracket (2018 Model),"₦69,400"
Excelvan ,C6 Wireless Stereo Earbuds Headset With Bluetooth & Microphone - Black / White,"₦3,750"
Polystar ,32-Inch PV-HD3216T  LED TV,"₦44,500"
Djack ,Powerful Bluetooth Home Theatre System - DJ-403,"₦14,744"
Fluke ,Fluke 435 Series Ll Energy And Power Quality Analyzer,"₦1,850,000"
Vaseline  ,Pink Lips,₦600
Chebe Republic ,Chebe Powder - 50g And Karkar OIl - 100ml,"₦2,450"
FreshLook ,Contact Lenses +120ml Solution,"₦1,845"
Generic ,Elva Hair Curly Lace Front Human Hair Wigs Pre Plucked Hairline Brazilian,"₦3,199"
 ,Spanish Gold Fly Female Sexual Libido Enhancer (3Pcs) ),"₦1,800"
Apple ,"MacBook Pro® - 13.3"" Display - Intel Core I7-3.5GHZ 16GB 1TB SSD(2017)with Touch Bar And Touch Id","₦990,000"
Apple ,Macbook Air 13.3 Inches 8GB RAM 256GB 2017,"₦480,999"
HP ,"250 G6 Laptop -Intel Celeron N3060, 15.6-Inch HD, 500GB, 4GB, Eng-Keyboard, FreeDOS Plus FREE Bag","₦98,900"
Apple ,IMac 27' - Intel Core I5 (3.4GHz) - 8GB - 1TB - Silver,"₦820,000"
Transcend ,1TB USB 3.1 StoreJet Shock Resistance Portable Hard Drive,"₦21,499"
Allwin ,100*58cm 5pcs/Set Promotion Cotton Baby Children Bedding Set -pink,"₦8,210"
Generic ,Waterproof Hospital Baby Diaper Bag,"₦4,998"
Fashion ,3pcs Re-washable Baby Diaper + Adjustable Waist Seal ,"₦1,200"
Cherish ,Baby Bath Set - 7pcs -Mint Green,"₦3,100"
Luvable Friends ,"Baby Caps, 5 Pack","₦2,295"
LG ,LG 32 Inches TV + Wall Bracket And Power Guard,"₦58,850"
Havit ,Multi-function 2.1 USB Speaker With Bluetooth Function - SK-590BT - Black .,"₦9,390"
Generic ,JBLCharge3 Bluetooth Speaker Handy Mountaineer Silicone Case,"₦1,399"
